display_avt,name,price,description,num_available
https://images.unsplash.com/photo-1632833239869-a37e3a5806d2?w=400,OPPO Pad Air,49622042,"Thiết kế gọn nhẹ, dễ mang theo",348
https://images.unsplash.com/photo-1542751371-adc38448a05e?w=400,Realme Pad 2,12236729,"Tính năng đa dạng, phong phú",122
https://images.unsplash.com/photo-1629131726692-1accd0c53ce0?w=400,Nokia T20,15775185,"Sản phẩm chính hãng, bảo hành 12 tháng",367
https://images.unsplash.com/photo-1633621156473-98daae96b9f8?w=400,Amazon Fire HD 10,19318256,"Thiết kế sang trọng, đẳng cấp",112
https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=400,Sạc nhanh 67W,24910081,"Thiết kế gọn nhẹ, dễ mang theo",44
https://images.unsplash.com/photo-1624823183493-ed5832f48f18?w=400,Cáp USB-C to Lightning,27906288,Hỗ trợ nhiều tính năng thông minh,210
https://images.unsplash.com/photo-1609081219090-a6d81d3085bf?w=400,Ốp lưng Silicon,28532191,"Tính năng đa dạng, phong phú",275
https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=400,Kính cường lực,1848926,Hỗ trợ nhiều tính năng thông minh,75
https://images.unsplash.com/photo-1625792560458-b39e717819c0?w=400,Giá đỡ điện thoại,987207,"Thiết kế sang trọng, đẳng cấp",260
https://images.unsplash.com/photo-1609592806596-f41c1b06b9c0?w=400,Pin sạc dự phòng 20000mAh,3617542,"Sạc nhanh, tiết kiệm thời gian",379
https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400,Chuột không dây Logitech,2874692,"Thiết kế cao cấp, hiệu năng mạnh mẽ",427
https://images.unsplash.com/photo-1595225476474-87563907a212?w=400,Bàn phím cơ Keychron,24466763,Hỗ trợ nhiều tính năng thông minh,454
https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,Túi chống sốc laptop,1179219,"Màn hình sắc nét, pin trâu bền bỉ",252
https://images.unsplash.com/photo-1625948515291-69613efd103f?w=400,Hub USB-C 7 trong 1,14813124,"Tiện lợi, dễ sử dụng",346
https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=400,Canon EOS R6 Mark II,8159060,"Hiệu suất cao, xử lý mượt mà",488
https://images.unsplash.com/photo-1606982801820-b55b5b2a6c5d?w=400,Sony A7 IV,41827013,"Thiết kế gọn nhẹ, dễ mang theo",469
https://images.unsplash.com/photo-1606983340126-99ab4feaa64a?w=400,Nikon Z6 III,36295793,"Thiết kế cao cấp, hiệu năng mạnh mẽ",292
https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Fujifilm X-T5,16308002,"Thiết kế sang trọng, đẳng cấp",442
https://images.unsplash.com/photo-1525857597365-5f6dbff2e36e?w=400,GoPro Hero 12,13908921,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",233
https://images.unsplash.com/photo-1622973536968-3ead9e780d7d?w=400,DJI Action 4,13168943,"Thiết kế gọn nhẹ, dễ mang theo",330
https://images.unsplash.com/photo-1606983340126-99ab4feaa64a?w=400,Insta360 X3,32975607,"Sạc nhanh, tiết kiệm thời gian",219
https://images.unsplash.com/photo-1495121605193-b116b5b9c5fe?w=400,Panasonic Lumix GH6,3902290,"Sạc nhanh, tiết kiệm thời gian",427
https://images.unsplash.com/photo-1606403182944-0fd56a82d1d7?w=400,Olympus OM-1,822765,"Tiện lợi, dễ sử dụng",226
https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=400,Leica Q3,5596762,"Hiệu suất cao, xử lý mượt mà",409
https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,JBL Charge 5,29799248,Hỗ trợ nhiều tính năng thông minh,57
https://images.unsplash.com/photo-1545454675-3531b543be5d?w=400,Sony SRS-XB43,14933690,"Chất liệu bền đẹp, an toàn",100
https://images.unsplash.com/photo-1589492477829-5e65395b66cc?w=400,Bose SoundLink Revolve+,24725115,"Sạc nhanh, tiết kiệm thời gian",28
https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,Marshall Emberton II,17755131,"Màn hình sắc nét, pin trâu bền bỉ",144
https://images.unsplash.com/photo-1545454675-3531b543be5d?w=400,Harman Kardon Onyx Studio 8,32987284,"Sạc nhanh, tiết kiệm thời gian",151
https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,UE Boom 3,19993304,"Âm thanh chất lượng, bass mạnh",66
https://images.unsplash.com/photo-1545454675-3531b543be5d?w=400,Anker Soundcore Motion+,36233329,"Chất lượng tốt, giá cả phải chăng",443
https://images.unsplash.com/photo-1545602952-16ddbb109542?w=400,Bang & Olufsen Beosound A1,8830374,"Tính năng đa dạng, phong phú",341
https://images.unsplash.com/photo-1589003077984-894e133dabab?w=400,Sonos Roam,37620548,"Tiện lợi, dễ sử dụng",95
https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,Tribit StormBox Micro,3715126,"Kết nối nhanh, ổn định",53
https://images.unsplash.com/photo-1606144042614-b2417e99c4e3?w=400,PlayStation 5,48465934,"Thiết kế sang trọng, đẳng cấp",91
https://images.unsplash.com/photo-1621259182978-fbf93132d53d?w=400,Xbox Series X,30533497,"Tính năng đa dạng, phong phú",335
https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=400,Nintendo Switch OLED,27649597,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",455
https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=400,Steam Deck,2652006,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",436
https://images.unsplash.com/photo-1612287230202-1ff1d85d1bdf?w=400,Asus ROG Ally,22131929,"Âm thanh chất lượng, bass mạnh",385
https://images.unsplash.com/photo-1527814050087-3793815479db?w=400,Logitech G Pro X,14591962,"Màn hình sắc nét, pin trâu bền bỉ",464
https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?w=400,Razer DeathAdder V3,33298202,"Âm thanh chất lượng, bass mạnh",271
https://images.unsplash.com/photo-1599669454699-248893623440?w=400,SteelSeries Arctis Nova Pro,1612502,"Tiện lợi, dễ sử dụng",256
https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=400,Corsair K70 RGB,15567835,"Tiện lợi, dễ sử dụng",183
https://images.unsplash.com/photo-1585348631808-e1fc86f5de24?w=400,HyperX Cloud Alpha,6345969,"Thiết kế cao cấp, hiệu năng mạnh mẽ",302
https://images.unsplash.com/photo-1558089687-8e00e47d4d4b?w=400,Google Nest Hub,28182525,"Sạc nhanh, tiết kiệm thời gian",266
https://images.unsplash.com/photo-1543512214-318c7553f230?w=400,Amazon Echo Dot 5,24589747,"Thiết kế gọn nhẹ, dễ mang theo",152
https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Philips Hue Starter Kit,10849808,"Chất liệu bền đẹp, an toàn",149
https://images.unsplash.com/photo-1558002038-1055907df827?w=400,TP-Link Tapo C200,20345818,"Chất lượng tốt, giá cả phải chăng",376
https://images.unsplash.com/photo-1567013127542-490d757e51fc?w=400,Xiaomi Smart Camera,25227509,Hỗ trợ nhiều tính năng thông minh,292
https://images.unsplash.com/photo-1611269154421-4e27233ac5c7?w=400,Ring Video Doorbell,48790590,"Âm thanh chất lượng, bass mạnh",28
https://images.unsplash.com/photo-1558089687-8e00e47d4d4b?w=400,Aqara Motion Sensor,15996574,"Âm thanh chất lượng, bass mạnh",358
https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Sonoff Smart Switch,4034890,"Chất liệu bền đẹp, an toàn",228
https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=400,Yeelight LED Bulb,13433868,"Sạc nhanh, tiết kiệm thời gian",474
https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400,Eufy RoboVac,6871731,"Sạc nhanh, tiết kiệm thời gian",275
